RSN,Vs30,EQID,Magnitude,Rjb,Lowest Usable Freq - Ave. Component (Hz),Tp,Duration_5_75,Duration_5_95
135,465.51,45.0,5.92,23.75,0.25,-999.0,2.431820668085605,5.879811643387455
136,514.99,45.0,5.92,0.0,0.163,-999.0,3.056028769599325,6.230735452365055
137,377.56,46.0,7.35,119.77,0.156,-999.0,20.912294524496602,25.3732926464619
138,324.57,46.0,7.35,24.07,0.156,-999.0,14.5854626139209,19.0996269669075
139,471.53,46.0,7.35,0.0,0.25,-999.0,6.6639198404340245,11.17658227921395
140,302.64,46.0,7.35,89.76,0.156,-999.0,18.5470059289475,22.9659581878651
141,280.26,46.0,7.35,193.91,0.156,-999.0,16.3032756899056,26.31785232051655
142,354.37,46.0,7.35,150.33,0.156,-999.0,22.0041528865273,29.15249018569095
143,766.77,46.0,7.35,1.79,0.125,6.188,8.042593379474186,16.443070585841298
144,585.04,47.0,5.34,5.57,1.25,-999.0,1.1598358579365895,2.37330349928441
145,561.43,48.0,5.74,5.3,0.25,-999.0,2.0442219377079454,6.998982616073846
146,1428.14,48.0,5.74,10.21,0.15,-999.0,2.425473679002355,6.264541160070969
147,270.84,48.0,5.74,8.47,0.163,1.463,1.4869591641698996,5.77082232530746
148,349.85,48.0,5.74,6.75,0.163,1.155,2.138966584648115,8.550595369415994
149,221.78,48.0,5.74,4.79,0.15,1.351,4.81419815702493,9.61567604446812
150,663.31,48.0,5.74,0.42,0.125,1.232,0.9607378642979065,3.371961925511405
151,281.61,48.0,5.74,33.69,0.375,-999.0,7.264292851884679,20.582723008234048
152,367.43,48.0,5.74,20.44,0.25,-999.0,3.57335018133618,7.682159645963295
153,362.98,48.0,5.74,20.44,0.25,-999.0,3.51980550232065,7.515060117766286
154,335.5,48.0,5.74,19.46,0.125,-999.0,6.16660942328018,13.0874438754146
155,401.34,49.0,5.9,31.43,0.625,-999.0,9.840696980651066,14.78124197195155
156,585.04,49.0,5.9,1.41,0.413,-999.0,2.5040395509997353,5.44693800689784
157,535.24,49.0,5.9,13.21,1.125,-999.0,5.32875695270244,10.49054197571295
158,259.86,50.0,6.53,0.0,0.288,-999.0,5.85390188864773,9.23206797300615
159,242.05,50.0,6.53,0.0,0.163,2.338,6.69826887577622,12.83046808128325
160,223.03,50.0,6.53,0.44,0.125,-999.0,5.363041763394265,9.696620597809826
161,208.71,50.0,6.53,8.54,0.054,4.396,4.130475199019855,14.6461500908134
162,231.23,50.0,6.53,10.45,0.05,-999.0,6.4734735755631,12.9282730485943
163,205.78,50.0,6.53,23.17,0.088,-999.0,11.934137742425001,24.659458560576198
164,471.53,50.0,6.53,15.19,0.113,-999.0,18.1290812554726,33.22271093678455
165,242.05,50.0,6.53,7.29,0.225,-999.0,12.94704148168525,22.27644178503375
166,336.49,50.0,6.53,49.1,0.138,-999.0,3.952732203904835,10.552772124382304
167,259.86,50.0,6.53,13.52,0.15,-999.0,12.716228616491,27.07417005329445
168,242.05,50.0,6.53,0.99,0.113,-999.0,-999.0,-999.0
169,242.05,50.0,6.53,22.03,0.088,-999.0,23.422348068975502,50.96239330757555
170,192.05,50.0,6.53,7.31,0.075,4.417,4.194282946247335,11.78564956021615
171,264.57,50.0,6.53,0.07,0.1,3.423,2.206781569087185,7.471393011013324
172,237.33,50.0,6.53,19.76,0.113,-999.0,6.18101522556883,17.27305392267895
173,202.85,50.0,6.53,8.6,0.075,4.515,4.77560591400604,12.416588411952901
174,196.25,50.0,6.53,12.56,0.1,-999.0,4.56485157456337,8.471612503182186
175,196.88,50.0,6.53,17.94,0.088,-999.0,9.65269960210427,19.57441889773915
176,249.92,50.0,6.53,21.98,0.1,-999.0,8.523978998498361,21.521098370464898
177,188.78,50.0,6.53,13.31,0.063,-999.0,-999.0,-999.0
178,162.94,50.0,6.53,10.79,0.063,4.501,4.7275855402195255,13.02298330371015
179,208.91,50.0,6.53,4.9,0.063,4.788,3.0666490262137502,8.489390722844055
180,205.63,50.0,6.53,1.76,0.05,4.13,3.670905989682495,8.92247206651715
181,203.22,50.0,6.53,0.0,0.063,3.773,4.77042342935398,10.09542984853148
